journal
"Activities, Adaptation & Aging"
Advanced Robotics
Advances in Eating Disorders
Advances in Mental Health
Advances in School Mental Health Promotion
African Journal of AIDS Research
Aging & Mental Health
"Aging, Neuropsychology, and Cognition"
AIDS Care
AJOB Neuroscience
Alcoholism Treatment Quarterly
American Journal of Clinical Hypnosis
American Journal of Psychiatric Rehabilitation
Annals of Leisure Research
"Anxiety, Stress & Coping"
Aphasiology
Applied Developmental Science
Applied Measurement in Education
Applied Neuropsychology: Child
Archives of Suicide Research
Art Therapy
Arts & Health
Asia Pacific Journal of Counselling and Psychotherapy
Attachment & Human Development
Auditory Perception & Cognition
Basic and Applied Social Psychology
Behavioral Medicine
Behavioral Sciences of Terrorism and Political Aggression
Behavioral Sleep Medicine
Behaviour & Information Technology
Bereavement Care
Bioacoustics
Biological Rhythm Research
"Body, Movement and Dance in Psychotherapy"
Brain-Computer Interfaces
British Journal of Guidance & Counselling
Canadian Art Therapy Association Journal
Chaplaincy Today
Child & Family Behavior Therapy
Child Neuropsychology
Clinical Gerontologist
"Coaching: An International Journal of Theory, Research and Practice"
CoDesign
Cogent Psychology
Cognition and Emotion
Cognitive Behaviour Therapy
Cognitive Neuropsychiatry
Cognitive Neuropsychology
Cognitive Neuroscience
Comprehensive Results in Social Psychology
Connection Science
Contemporary Psychoanalysis
Corrections
Counselling Psychology Quarterly
Crime Psychology Review
Critical Public Health
Culture and Education
"Culture, Health & Sexuality"
Death Studies
Developmental Neuropsychology
Deviant Behavior
Discourse Processes
Dramatherapy
Dynamics of Asymmetric Conflict
Eating Disorders
Ecological Psychology
Educational Gerontology
Ergonomics
Ethics & Behavior
European Journal of Behavior Analysis
European Journal of Developmental Psychology
European Journal of Psychotherapy & Counselling
European Journal of Psychotraumatology
European Journal of Sport Science
European Journal of Work and Organizational Psychology
European Review of Social Psychology
Evidence-Based Communication Assessment and Intervention
Evidence-Based Practice in Child and Adolescent Mental Health
Experimental Aging Research
Family Science
"Fatigue: Biomedicine, Health & Behavior"
Free Radical Research
Gerontology & Geriatrics Education
Global Public Health
Health Care for Women International
Health Psychology and Behavioral Medicine
Health Psychology Review
"Health, Risk & Society"
Human Performance
Identity
Infant Observation
International Forum of Psychoanalysis
International Gambling Studies
International Journal of Adolescence and Youth
International Journal of Art Therapy
International Journal of Clinical and Experimental Hypnosis
International Journal of Culture and Mental Health
International Journal of Forensic Mental Health
International Journal of Group Psychotherapy
International Journal of Jungian Studies
International Journal of Mental Health
International Journal of Mental Health Promotion
International Journal of Occupational Safety and Ergonomics
International Journal of Play
International Journal of Psychoanalytic Self Psychology
International Journal of Qualitative Studies on Health and Well-being
International Journal of School & Educational Psychology
International Journal of Social Psychology
